0,9.99E-01
0.1,9.99E-01
0.2,9.99E-01
0.3,9.99E-01
0.4,9.99E-01
0.5,9.99E-01
0.6,9.99E-01
0.7,9.99E-01
0.8,9.99E-01
0.9,1.00E+00
1,1.00E+00
1.1,1.00E+00
1.2,1.00E+00
1.3,1.00E+00
1.4,1.00E+00
1.5,1.00E+00
1.6,1.00E+00
1.7,1.00E+00
1.8,1.00E+00
1.9,1.00E+00
2,1.00E+00
2.1,1.00E+00
2.2,1.00E+00
2.3,1.00E+00
2.4,1.00E+00
2.5,1.00E+00
2.6,1.00E+00
2.7,1.00E+00
2.8,1.00E+00
2.9,1.00E+00
3,1.00E+00
3.1,1.00E+00
3.2,1.00E+00
3.3,1.00E+00
3.4,1.00E+00
3.5,1.00E+00
3.6,1.00E+00
3.7,1.00E+00
3.8,1.00E+00
3.9,1.00E+00
4,1.00E+00
4.1,1.00E+00
4.2,1.00E+00
4.3,1.00E+00
4.4,1.00E+00
4.5,1.00E+00
4.6,1.00E+00
4.7,9.98E-01
4.8,9.98E-01
4.9,9.98E-01
5,9.99E-01
5.1,9.99E-01
5.2,9.99E-01
5.3,9.99E-01
5.4,9.99E-01
5.5,9.99E-01
5.6,9.98E-01
5.7,9.98E-01
5.8,9.98E-01
5.9,9.98E-01
6,9.98E-01
6.1,9.98E-01
6.2,9.98E-01
6.3,9.99E-01
6.4,9.99E-01
6.5,1.00E+00
6.6,1.00E+00
6.7,1.00E+00
6.8,1.00E+00
6.9,1.00E+00
7,1.00E+00
7.1,1.00E+00
7.2,1.00E+00
7.3,1.00E+00
7.4,1.00E+00
7.5,1.00E+00
7.6,1.00E+00
7.7,1.00E+00
7.8,1.00E+00
7.9,1.00E+00
8,1.00E+00
8.1,1.00E+00
8.2,1.00E+00
8.3,1.00E+00
8.4,1.00E+00
8.5,1.00E+00
8.6,1.00E+00
8.7,9.99E-01
8.8,9.99E-01
8.9,9.99E-01
9,1.00E+00
9.1,1.00E+00
9.2,1.00E+00
9.3,1.00E+00
9.4,1.00E+00
9.5,1.00E+00
9.6,1.00E+00
9.7,1.00E+00
9.8,1.00E+00
9.9,1.00E+00
10,1.01E+00
10.1,1.01E+00
10.2,1.01E+00
10.3,1.00E+00
10.4,1.00E+00
10.5,1.00E+00
10.6,1.00E+00
10.7,1.00E+00
10.8,1.00E+00
10.9,1.00E+00
11,1.00E+00
11.1,1.00E+00
11.2,1.00E+00
11.3,1.00E+00
11.4,1.00E+00
11.5,1.00E+00
11.6,1.00E+00
11.7,1.00E+00
11.8,1.00E+00
11.9,1.00E+00
12,1.00E+00
12.1,1.00E+00
12.2,1.00E+00
12.3,1.00E+00
12.4,1.00E+00
12.5,1.00E+00
12.6,1.00E+00
12.7,1.00E+00
12.8,1.00E+00
12.9,1.00E+00
13,1.00E+00
13.1,1.00E+00
13.2,1.00E+00
13.3,1.00E+00
13.4,1.00E+00
13.5,1.00E+00
13.6,1.00E+00
13.7,1.00E+00
13.8,9.98E-01
13.9,9.98E-01
14,9.98E-01
14.1,9.99E-01
14.2,9.99E-01
14.3,9.99E-01
14.4,9.99E-01
14.5,9.97E-01
14.6,9.97E-01
14.7,1.00E+00
14.8,1.00E+00
14.9,1.00E+00
15,1.00E+00
15.1,1.00E+00
15.2,1.00E+00
15.3,1.00E+00
15.4,1.00E+00
15.5,1.00E+00
15.6,1.00E+00
15.7,1.00E+00
15.8,1.00E+00
15.9,9.99E-01
16,9.99E-01
16.1,9.99E-01
16.2,9.98E-01
16.3,9.98E-01
16.4,9.98E-01
16.5,9.98E-01
16.6,9.98E-01
16.7,9.98E-01
16.8,9.98E-01
16.9,9.98E-01
17,9.98E-01
17.1,1.00E+00
17.2,1.00E+00
17.3,1.00E+00
17.4,1.00E+00
17.5,1.00E+00
17.6,1.00E+00
17.7,1.00E+00
17.8,1.00E+00
17.9,1.00E+00
18,1.00E+00
18.1,1.00E+00
18.2,1.00E+00
18.3,1.00E+00
18.4,1.00E+00
18.5,1.00E+00
18.6,1.00E+00
18.7,1.00E+00
18.8,1.00E+00
18.9,1.00E+00
19,1.00E+00
19.1,1.00E+00
19.2,1.00E+00
19.3,1.00E+00
19.4,1.00E+00
19.5,1.00E+00
19.6,1.00E+00
19.7,1.00E+00
19.8,1.00E+00
19.9,1.00E+00
20,1.00E+00
20.1,1.00E+00
20.2,9.97E-01
20.3,9.97E-01
20.4,9.96E-01
20.5,9.96E-01
20.6,9.96E-01
20.7,1.00E+00
20.8,1.00E+00
20.9,1.00E+00
21,1.00E+00
21.1,1.00E+00
21.2,1.00E+00
21.3,1.00E+00
21.4,1.00E+00
21.5,1.00E+00
21.6,1.00E+00
21.7,1.00E+00
21.8,1.00E+00
21.9,1.00E+00
22,1.00E+00
22.1,1.00E+00
22.2,1.00E+00
22.3,1.00E+00
22.4,1.00E+00
22.5,1.00E+00
22.6,1.00E+00
22.7,1.00E+00
22.8,1.00E+00
22.9,1.00E+00
23,1.00E+00
23.1,1.00E+00
23.2,1.00E+00
23.3,1.00E+00
23.4,1.00E+00
23.5,1.00E+00
23.6,1.00E+00
23.7,1.00E+00
23.8,9.99E-01
23.9,9.99E-01
24,9.99E-01
24.1,1.00E+00
24.2,1.00E+00
24.3,1.00E+00
24.4,1.00E+00
24.5,1.00E+00
24.6,1.00E+00
24.7,1.00E+00
24.8,1.00E+00
24.9,9.99E-01
25,9.99E-01
25.1,1.00E+00
25.2,1.00E+00
25.3,1.00E+00
25.4,1.00E+00
25.5,1.00E+00
25.6,1.00E+00
25.7,1.00E+00
25.8,1.00E+00
25.9,1.00E+00
26,1.00E+00
26.1,1.00E+00
26.2,1.00E+00
26.3,1.00E+00
26.4,1.00E+00
26.5,1.00E+00
26.6,1.00E+00
26.7,1.00E+00
26.8,1.00E+00
26.9,1.00E+00
27,9.99E-01
27.1,9.99E-01
27.2,9.99E-01
27.3,9.99E-01
27.4,9.99E-01
27.5,9.99E-01
27.6,9.97E-01
27.7,9.97E-01
27.8,9.97E-01
27.9,9.98E-01
28,9.98E-01
28.1,9.98E-01
28.2,9.98E-01
28.3,9.99E-01
28.4,9.99E-01
28.5,9.99E-01
28.6,1.00E+00
28.7,1.00E+00
28.8,1.00E+00
28.9,1.00E+00
29,1.00E+00
29.1,1.00E+00
29.2,1.00E+00
29.3,1.00E+00
29.4,1.00E+00
29.5,1.00E+00
29.6,1.00E+00
29.7,1.00E+00
29.8,1.00E+00
29.9,1.00E+00
30,1.00E+00
30.1,1.00E+00
